Year,Area,Element Code,Element,Item Code,Item,Year Code,Unit,Value
1988,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1988,kilotonnes,398.3772
1988,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1988,kilotonnes,10.3283
1989,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1989,kilotonnes,404.5991
1989,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1989,kilotonnes,10.4896
1990,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1990,kilotonnes,409.3937
1990,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1990,kilotonnes,10.6139
1991,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1991,kilotonnes,409.558
1991,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1991,kilotonnes,10.6182
1992,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1992,kilotonnes,426.7215
1992,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1992,kilotonnes,11.0632
1993,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1993,kilotonnes,424.7677
1993,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1993,kilotonnes,11.0125
1994,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1994,kilotonnes,424.6925
1994,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1994,kilotonnes,11.0105
1995,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1995,kilotonnes,432.8853
1995,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1995,kilotonnes,11.223
1996,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1996,kilotonnes,442.745
1996,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1996,kilotonnes,11.4786
1997,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1997,kilotonnes,441.643
1997,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1997,kilotonnes,11.45
1998,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1998,kilotonnes,445.885
1998,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1998,kilotonnes,11.56
1999,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,1999,kilotonnes,451.5005
1999,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,1999,kilotonnes,11.7056
2000,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2000,kilotonnes,439.4551
2000,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2000,kilotonnes,11.3933
2001,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2001,kilotonnes,436.5653
2001,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2001,kilotonnes,11.3184
2002,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2002,kilotonnes,433.6437
2002,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2002,kilotonnes,11.2426
2003,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2003,kilotonnes,434.5693
2003,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2003,kilotonnes,11.2666
2004,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2004,kilotonnes,441.6157
2004,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2004,kilotonnes,11.4493
2005,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2005,kilotonnes,453.5285
2005,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2005,kilotonnes,11.7581
2006,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2006,kilotonnes,459.8867
2006,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2006,kilotonnes,11.923
2007,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2007,kilotonnes,469.7498
2007,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2007,kilotonnes,12.1787
2008,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2008,kilotonnes,476.2249
2008,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2008,kilotonnes,12.3466
2009,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2009,kilotonnes,478.3559
2009,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2009,kilotonnes,12.4018
2010,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2010,kilotonnes,484.6028
2010,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2010,kilotonnes,12.5638
2011,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2011,kilotonnes,492.533
2011,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2011,kilotonnes,12.7694
2012,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2012,kilotonnes,494.5122
2012,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2012,kilotonnes,12.8207
2013,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2013,kilotonnes,504.3859
2013,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2013,kilotonnes,13.0767
2014,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2014,kilotonnes,503.2291
2014,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2014,kilotonnes,13.0467
2015,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2015,kilotonnes,519.1344
2015,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2015,kilotonnes,13.459
2016,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2016,kilotonnes,521.3922
2016,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2016,kilotonnes,13.5176
2017,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2017,kilotonnes,519.8741
2017,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2017,kilotonnes,13.4782
2018,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2018,kilotonnes,515.6782
2018,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2018,kilotonnes,13.3694
2019,Asia,7225,Emissions (CH4),5066,Burning - Crop residues,2019,kilotonnes,511.0759
2019,Asia,7230,Emissions (N2O),5066,Burning - Crop residues,2019,kilotonnes,13.2501
1961,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1961,kilotonnes,114.3125
1962,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1962,kilotonnes,125.0899
1963,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1963,kilotonnes,139.0399
1964,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1964,kilotonnes,157.9202
1965,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1965,kilotonnes,181.8508
1966,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1966,kilotonnes,203.6421
1967,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1967,kilotonnes,227.9865
1968,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1968,kilotonnes,251.7112
1969,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1969,kilotonnes,267.7337
1970,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1970,kilotonnes,296.7519
1971,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1971,kilotonnes,321.3428
1972,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1972,kilotonnes,338.748
1973,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1973,kilotonnes,363.9198
1974,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1974,kilotonnes,374.9883
1975,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1975,kilotonnes,407.7473
1976,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1976,kilotonnes,411.823
1977,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1977,kilotonnes,426.3053
1978,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1978,kilotonnes,450.6507
1979,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1979,kilotonnes,458.629
1980,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1980,kilotonnes,470.25
1981,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1981,kilotonnes,474.7705
1982,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1982,kilotonnes,497.6569
1983,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1983,kilotonnes,530.1827
1984,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1984,kilotonnes,533.8769
1985,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1985,kilotonnes,553.6501
1986,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1986,kilotonnes,567.9753
1987,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1987,kilotonnes,570.912
1988,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1988,kilotonnes,573.9626
1989,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1989,kilotonnes,532.3953
1990,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1990,kilotonnes,468.2453
1991,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1991,kilotonnes,417.3974
1992,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1992,kilotonnes,325.6668
1993,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1993,kilotonnes,305.3871
1994,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1994,kilotonnes,289.6709
1995,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1995,kilotonnes,285.4887
1996,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1996,kilotonnes,297.2803
1997,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1997,kilotonnes,292.8174
1998,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1998,kilotonnes,289.6679
1999,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,1999,kilotonnes,291.0146
2000,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2000,kilotonnes,275.0617
2001,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2001,kilotonnes,281.2149
2002,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2002,kilotonnes,278.4396
2003,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2003,kilotonnes,282.2639
2004,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2004,kilotonnes,278.9858
2005,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2005,kilotonnes,271.9344
2006,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2006,kilotonnes,271.1694
2007,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2007,kilotonnes,290.3873
2008,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2008,kilotonnes,278.8005
2009,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2009,kilotonnes,267.07
2010,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2010,kilotonnes,282.2309
2011,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2011,kilotonnes,286.5383
2012,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2012,kilotonnes,290.4861
2013,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2013,kilotonnes,297.8922
2014,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2014,kilotonnes,299.6982
2015,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2015,kilotonnes,304.3123
2016,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2016,kilotonnes,308.1538
2017,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2017,kilotonnes,313.683
2018,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2018,kilotonnes,308.7261
2019,Europe,7230,Emissions (N2O),5061,Synthetic Fertilizers,2019,kilotonnes,310.1876
1961,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1961,kilotonnes,149.1829
1961,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1961,kilotonnes,3.8677
1962,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1962,kilotonnes,153.7847
1962,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1962,kilotonnes,3.987
1963,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1963,kilotonnes,150.3033
1963,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1963,kilotonnes,3.8968
1964,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1964,kilotonnes,149.5484
1964,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1964,kilotonnes,3.8772
1965,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1965,kilotonnes,146.2376
1965,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1965,kilotonnes,3.7913
1966,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1966,kilotonnes,145.288
1966,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1966,kilotonnes,3.7667
1967,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1967,kilotonnes,142.7656
1967,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1967,kilotonnes,3.7013
1968,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1968,kilotonnes,143.8096
1968,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1968,kilotonnes,3.7284
1969,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1969,kilotonnes,143.7197
1969,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1969,kilotonnes,3.7261
1970,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1970,kilotonnes,140.8752
1970,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1970,kilotonnes,3.6523
1971,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1971,kilotonnes,140.9906
1971,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1971,kilotonnes,3.6553
1972,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1972,kilotonnes,137.8539
1972,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1972,kilotonnes,3.574
1973,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1973,kilotonnes,138.9792
1973,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1973,kilotonnes,3.6032
1974,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1974,kilotonnes,137.189
1974,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1974,kilotonnes,3.5568
1975,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1975,kilotonnes,135.6593
1975,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1975,kilotonnes,3.5171
1976,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1976,kilotonnes,134.921
1976,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1976,kilotonnes,3.498
1977,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1977,kilotonnes,136.2865
1977,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1977,kilotonnes,3.5334
1978,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1978,kilotonnes,135.4492
1978,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1978,kilotonnes,3.5116
1979,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1979,kilotonnes,130.6622
1979,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1979,kilotonnes,3.3875
1980,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1980,kilotonnes,135.4837
1980,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1980,kilotonnes,3.5125
1981,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1981,kilotonnes,132.6885
1981,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1981,kilotonnes,3.4401
1982,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1982,kilotonnes,132.664
1982,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1982,kilotonnes,3.4394
1983,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1983,kilotonnes,125.9978
1983,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1983,kilotonnes,3.2666
1984,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1984,kilotonnes,127.6087
1984,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1984,kilotonnes,3.3084
1985,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1985,kilotonnes,127.5736
1985,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1985,kilotonnes,3.3075
1986,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1986,kilotonnes,125.7346
1986,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1986,kilotonnes,3.2598
1987,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1987,kilotonnes,123.5841
1987,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1987,kilotonnes,3.204
1988,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1988,kilotonnes,124.6536
1988,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1988,kilotonnes,3.2318
1989,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1989,kilotonnes,124.1804
1989,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1989,kilotonnes,3.2195
1990,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1990,kilotonnes,118.2319
1990,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1990,kilotonnes,3.0653
1991,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1991,kilotonnes,117.8069
1991,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1991,kilotonnes,3.0543
1992,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1992,kilotonnes,99.9729
1992,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1992,kilotonnes,2.5919
1993,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1993,kilotonnes,99.146
1993,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1993,kilotonnes,2.5705
1994,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1994,kilotonnes,91.8008
1994,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1994,kilotonnes,2.38
1995,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1995,kilotonnes,94.2925
1995,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1995,kilotonnes,2.4446
1996,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1996,kilotonnes,95.4384
1996,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1996,kilotonnes,2.4743
1997,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1997,kilotonnes,103.1792
1997,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1997,kilotonnes,2.675
1998,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1998,kilotonnes,93.8987
1998,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1998,kilotonnes,2.4344
1999,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,1999,kilotonnes,91.6168
1999,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,1999,kilotonnes,2.3753
2000,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2000,kilotonnes,96.7941
2000,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2000,kilotonnes,2.5095
2001,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2001,kilotonnes,100.2097
2001,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2001,kilotonnes,2.598
2002,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2002,kilotonnes,101.7661
2002,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2002,kilotonnes,2.6384
2003,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2003,kilotonnes,94.7055
2003,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2003,kilotonnes,2.4553
2004,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2004,kilotonnes,104.6161
2004,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2004,kilotonnes,2.7123
2005,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2005,kilotonnes,102.4322
2005,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2005,kilotonnes,2.6557
2006,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2006,kilotonnes,97.2227
2006,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2006,kilotonnes,2.5206
2007,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2007,kilotonnes,98.2783
2007,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2007,kilotonnes,2.548
2008,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2008,kilotonnes,109.3972
2008,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2008,kilotonnes,2.8362
2009,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2009,kilotonnes,104.674
2009,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2009,kilotonnes,2.7138
2010,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2010,kilotonnes,99.219
2010,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2010,kilotonnes,2.5723
2011,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2011,kilotonnes,110.051
2011,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2011,kilotonnes,2.8532
2012,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2012,kilotonnes,109.1135
2012,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2012,kilotonnes,2.8289
2013,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2013,kilotonnes,114.4
2013,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2013,kilotonnes,2.9659
2014,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2014,kilotonnes,114.9566
2014,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2014,kilotonnes,2.9804
2015,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2015,kilotonnes,115.5563
2015,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2015,kilotonnes,2.9959
2016,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2016,kilotonnes,115.767
2016,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2016,kilotonnes,3.0014
2017,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2017,kilotonnes,114.6932
2017,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2017,kilotonnes,2.9735
2018,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2018,kilotonnes,112.4218
2018,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2018,kilotonnes,2.9146
2019,Europe,7225,Emissions (CH4),5066,Burning - Crop residues,2019,kilotonnes,117.8557
2019,Europe,7230,Emissions (N2O),5066,Burning - Crop residues,2019,kilotonnes,3.0555
